Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index,EXR_Log_Returns,CPI Inflation_Lag1,CPI Inflation_Lag2, Lending Interest Rate_Lag1, Lending Interest Rate_Lag2,EXR_Log_Returns_Lag1,EXR_Log_Returns_Lag2
S. AFRICA,01/03/2019,4.439252336,14.4868539,10.25,58.17047619,-82.331728,54.996,51.2273913,-89.917774,0.0577219468688632,51.71414630666666,-47.33671066666667,3.0675780975524627,0.2547786619367806,0.0372097001010836,4.107981221,3.896103896,10.25,10.25,0.04997984888964657,-0.07955378173123329
S. AFRICA,01/04/2019,4.413472706,14.29518995,10.25,63.87045455,-69.721008,58.17047619,54.996,-82.331728,0.0979874797892728,54.79795583,-69.85434866666667,3.4757766135627826,-0.0324060692510834,-0.01331849705607313,4.439252336,4.107981221,10.25,10.25,0.0372097001010836,0.04997984888964657
S. AFRICA,01/05/2019,4.398148148,14.67969637,10.25,60.74,-40.293993,63.87045455,58.17047619,-69.721008,-0.0490125610042334,59.012310246666665,-80.65683666666666,4.496720952452644,0.0662497246321801,0.026542226181080153,4.413472706,4.439252336,10.25,10.25,-0.01331849705607313,0.0372097001010836
S. AFRICA,01/06/2019,4.503464203,14.17030725,10.25,54.666,-27.589161,60.74,63.87045455,-40.293993,-0.1,60.92697691333333,-64.11557633333332,2.85458553921694,0.1735310753452822,-0.035316603129067925,4.398148148,4.413472706,10.25,10.25,0.026542226181080153,-0.01331849705607313
S. AFRICA,01/07/2019,4.009163803,14.23645615,10.0,57.37608696,18.899846,54.666,60.74,-27.589161,0.0495753660410493,59.758818183333325,-45.868054,4.680014338522017,-0.0327328202750419,0.004657272539899893,4.503464203,4.398148148,10.25,10.25,-0.035316603129067925,0.026542226181080153
S. AFRICA,01/08/2019,4.357798165,15.24199719,10.0,54.83045455,24.792569,57.37608696,54.666,18.899846,-0.0443674803367943,57.594028986666665,-16.32776933333334,3.0428593535095656,-0.0747474511408365,0.0682485817441072,4.009163803,4.503464203,10.0,10.25,0.004657272539899893,-0.035316603129067925
S. AFRICA,01/09/2019,4.104903079,15.20894042,10.0,56.86,37.710514,54.83045455,57.37608696,24.792569,0.0370149302364299,55.62418050333333,5.367751333333328,1.519422093901771,-0.1021259780910688,-0.002171150419660872,4.357798165,4.009163803,10.0,10.0,0.0682485817441072,0.004657272539899893
S. AFRICA,01/10/2019,3.632236095,15.16005991,10.0,53.96086957,16.493323,56.86,54.83045455,37.710514,-0.0509871690116074,56.35551383666666,27.134309666666663,1.3457120079930815,-0.0397072854366706,-0.003219108411857352,4.104903079,4.357798165,10.0,10.0,-0.002171150419660872,0.0682485817441072
S. AFRICA,01/11/2019,3.628117914,14.65190731,10.0,56.67761905,-8.8380041,53.96086957,56.86,16.493323,0.0503466586370653,55.21710803999999,26.33213533333333,1.4877382174075702,0.0641481579605827,-0.03409381325565031,3.632236095,4.104903079,10.0,10.0,-0.003219108411857352,-0.002171150419660872
S. AFRICA,01/12/2019,3.972758229,14.02554051,10.0,59.86772727,-11.675897,56.67761905,53.96086957,-8.8380041,0.0562851487672011,55.83282954,15.121944299999996,1.6237275940540778,0.0376908999932324,-0.04369052909414872,3.628117914,3.632236095,10.0,10.0,-0.03409381325565031,-0.003219108411857352
S. AFRICA,01/01/2020,4.318181818,14.90599534,9.75,57.71695652,-79.506048,59.86772727,56.67761905,-11.675897,-0.0359253782977287,56.83540529666666,-1.340192700000005,2.9565882951030265,0.2694220037963104,0.06088351413008164,3.972758229,3.628117914,10.0,10.0,-0.04369052909414872,-0.03409381325565031
S. AFRICA,01/02/2020,4.509582864,15.54675609,9.75,50.608,-121.29713,57.71695652,59.86772727,-79.506048,-0.1231692893844222,58.08743427999999,-33.33998303333334,1.6270027479444398,0.9174944860893164,0.042088501453593885,4.318181818,3.972758229,9.75,10.0,0.06088351413008164,-0.04369052909414872
S. AFRICA,01/03/2020,4.138702461,17.89094396,8.75,29.32045455,-94.15621,50.608,57.71695652,-121.29713,-0.4206359755374643,56.06422793,-70.82635833333335,4.84605727605938,1.959747921696972,0.1404426555143643,4.509582864,4.318181818,9.75,9.75,0.042088501453593885,0.06088351413008164
S. AFRICA,01/04/2020,2.892102336,18.06103909,7.75,16.975,-83.224963,29.32045455,50.608,-94.15621,-0.4210526316686996,45.88180368999999,-98.319796,14.776434945667631,2.391170401164623,0.009462420969547303,4.138702461,4.509582864,8.75,9.75,0.1404426555143643,0.042088501453593885
S. AFRICA,01/05/2020,1.99556541,17.48988647,7.25,28.78142857,-113.5597,16.975,29.32045455,-83.224963,0.6955186197349041,32.301151516666664,-99.55943433333334,17.013467843309428,2.3661937724848654,-0.032134283899520444,2.892102336,4.138702461,7.75,8.75,0.009462420969547303,0.1404426555143643
S. AFRICA,01/06/2020,2.099447514,17.33555922,7.25,38.31454545,-28.708879,28.78142857,16.975,-113.5597,0.331224590079477,25.025627706666665,-96.980291,6.977255341844183,0.5241294539425592,-0.008862959664568848,1.99556541,2.892102336,7.25,7.75,-0.032134283899520444,0.009462420969547303
